session_id,user_id,city,hour,day_of_week,meal_time,user_segment,user_frequency,user_order_count,user_avg_order_value,restaurant_id,restaurant_type,cuisine_type,restaurant_rating,cart_items,cart_size,cart_value,has_main,has_side,has_drink,has_dessert,true_addon,addon_price,addon_category
10,3582,Delhi,10,0,breakfast,budget,new,23,737.71,81,chain,Indian,4.8,"Chicken Fried Rice,Biryani,Paneer Tikka,Spring Rolls",4,830,1,0,0,0,Naan,40,Bread
11,203,Bangalore,8,6,breakfast,premium,new,26,609.67,610,independent,Chinese,4.2,"Biryani,Raita,Mineral Water,Dal Makhani",4,540,1,1,1,0,Salad,90,Starter
12,147,Kolkata,23,6,late_night,budget,new,16,644.16,640,chain,Chinese,4.6,"Biryani,Fresh Lime,Papad",3,365,1,1,1,0,Salan,70,Side
13,3644,Mumbai,9,0,breakfast,premium,new,24,880.74,37,independent,Continental,3.7,Butter Chicken,1,320,1,0,0,0,Biryani,280,Main
14,1649,Kolkata,13,3,lunch,premium,power,29,379.42,112,independent,Indian,4.4,Hakka Noodles,1,190,1,0,0,0,Lassi,70,Drink
15,161,Kolkata,8,5,breakfast,budget,power,27,547.52,195,chain,Mixed,4.2,"Hakka Noodles,Salad,Brownie,Raita",4,440,1,1,0,1,Roti,30,Bread
16,4894,Mumbai,19,6,dinner,budget,new,5,942.65,659,independent,Continental,4.5,"Dal Makhani,Brownie,Salad,Raita",4,430,1,1,0,1,Roti,30,Bread
17,302,Hyderabad,22,2,late_night,budget,power,15,992.04,253,chain,Mixed,4.6,"Paneer Tikka,Papad,Dal Makhani,Roti",4,455,1,1,0,0,Raita,60,Side
18,3010,Bangalore,17,1,dinner,premium,new,25,702.32,104,chain,Indian,4.4,"Paneer Tikka,Dal Makhani,Samosa,Brownie",4,540,1,0,0,1,Coke,50,Drink
19,4116,Mumbai,15,5,dinner,premium,power,22,629.67,471,chain,Mixed,4.3,"Hakka Noodles,Samosa,Mineral Water,Salad",4,340,1,0,1,0,Spring Rolls,120,Starter
20,2661,Mumbai,15,4,dinner,budget,power,17,519.06,196,independent,Indian,3.8,"Dal Makhani,Lassi",2,250,1,0,1,0,Chicken Wings,180,Starter
21,5907,Kolkata,17,6,dinner,premium,new,15,400.19,474,chain,Chinese,4.6,Biryani,1,280,1,0,0,0,Raita,60,Side
22,5238,Mumbai,15,4,dinner,budget,new,5,296.13,272,chain,Continental,4.4,Butter Chicken,1,320,1,0,0,0,Raita,60,Side
23,3357,Kolkata,12,6,lunch,budget,regular,23,238.45,750,independent,Mixed,3.7,"Chicken Fried Rice,Salan,Dal Makhani,Biryani",4,740,1,1,0,0,Spring Rolls,120,Starter
24,5878,Hyderabad,11,1,lunch,occasional,regular,20,660.38,762,chain,Chinese,4.2,"Dal Makhani,Lassi,Mineral Water,Paneer Tikka",4,490,1,0,1,0,Papad,25,Side
25,3747,Kolkata,8,0,breakfast,budget,power,12,280.62,427,chain,Mixed,4.0,Butter Chicken,1,320,1,0,0,0,Naan,40,Bread
26,3970,Hyderabad,10,1,breakfast,occasional,power,21,478.67,90,independent,Indian,4.6,"Butter Chicken,Roti",2,350,1,0,0,0,Raita,60,Side
27,3147,Hyderabad,15,3,dinner,budget,new,24,893.69,761,independent,Chinese,4.1,"Lassi,Butter Chicken,Mineral Water,Chicken Fried Rice",4,620,1,0,1,0,Raita,60,Side
28,4133,Kolkata,8,6,breakfast,budget,power,19,511.36,217,chain,Indian,4.0,Biryani,1,280,1,0,0,0,Gulab Jamun,80,Dessert
29,396,Hyderabad,16,2,dinner,budget,power,21,833.26,796,independent,Continental,4.7,"Chicken Fried Rice,Hakka Noodles,Butter Chicken",3,720,1,0,0,0,Raita,60,Side
30,2617,Hyderabad,12,1,lunch,premium,power,26,694.57,398,chain,Chinese,4.1,"Butter Chicken,Fresh Lime,Coke",3,430,1,0,1,0,Roti,30,Bread
31,3325,Hyderabad,15,1,dinner,budget,regular,7,988.8,795,independent,Chinese,3.6,Chicken Fried Rice,1,210,1,0,0,0,Spring Rolls,120,Starter
32,1156,Kolkata,13,3,lunch,occasional,power,28,657.18,445,independent,Chinese,4.4,"Raita,Butter Chicken",2,380,1,1,0,0,Roti,30,Bread
33,5780,Kolkata,15,4,dinner,occasional,new,6,549.07,1,chain,Indian,3.8,Biryani,1,280,1,0,0,0,Raita,60,Side
34,2106,Kolkata,20,4,late_night,budget,power,14,435.6,149,independent,Chinese,4.7,"Butter Chicken,Samosa,Spring Rolls,Fresh Lime",4,540,1,0,1,0,Naan,40,Bread
35,3585,Hyderabad,13,5,lunch,occasional,power,8,482.68,12,independent,Mixed,3.6,"Dal Makhani,Spring Rolls",2,300,1,0,0,0,Naan,40,Bread
36,540,Kolkata,12,0,lunch,occasional,regular,29,952.43,145,chain,Indian,4.0,Chicken Fried Rice,1,210,1,0,0,0,Ice Cream,90,Dessert
37,256,Hyderabad,22,0,late_night,premium,regular,26,504.71,798,independent,Continental,3.6,"Hakka Noodles,Biryani,Samosa",3,510,1,0,0,0,Gulab Jamun,80,Dessert
38,3926,Bangalore,18,0,dinner,budget,new,6,930.53,610,chain,Continental,3.7,Hakka Noodles,1,190,1,0,0,0,Chicken Fried Rice,210,Main
39,3637,Hyderabad,17,1,dinner,occasional,new,7,737.26,85,independent,Indian,3.7,"Dal Makhani,Biryani,Fresh Lime",3,520,1,0,1,0,Roti,30,Bread
40,674,Bangalore,18,1,dinner,budget,regular,7,309.1,236,chain,Chinese,4.6,Chicken Fried Rice,1,210,1,0,0,0,Samosa,40,Starter
41,4860,Delhi,13,1,lunch,premium,regular,19,758.11,798,chain,Continental,3.6,"Hakka Noodles,Biryani",2,470,1,0,0,0,Gulab Jamun,80,Dessert
42,4893,Kolkata,17,0,dinner,premium,new,25,568.1,508,independent,Mixed,3.6,"Chicken Fried Rice,Gulab Jamun",2,290,1,0,0,1,Lassi,70,Drink
43,3446,Kolkata,15,3,dinner,budget,power,29,225.44,195,chain,Indian,4.8,Butter Chicken,1,320,1,0,0,0,Papad,25,Side
44,524,Delhi,21,1,late_night,budget,regular,11,936.7,730,chain,Continental,3.6,Hakka Noodles,1,190,1,0,0,0,Coke,50,Drink
45,3645,Mumbai,17,3,dinner,budget,new,24,306.49,253,independent,Continental,4.2,"Paneer Tikka,Brownie,Butter Chicken,Coke",4,690,1,0,1,1,Naan,40,Bread
46,5123,Bangalore,22,3,late_night,budget,regular,12,386.57,506,independent,Continental,4.0,"Chicken Fried Rice,Papad,Salan,Samosa",4,345,1,1,0,0,Coke,50,Drink
47,3597,Kolkata,16,3,dinner,premium,power,6,919.72,233,chain,Chinese,3.6,"Biryani,Rasgulla,Chicken Wings",3,530,1,0,0,1,Raita,60,Side
48,1762,Bangalore,15,2,dinner,budget,regular,24,917.41,741,chain,Indian,3.5,Dal Makhani,1,180,1,0,0,0,Lassi,70,Drink
49,4855,Bangalore,10,6,breakfast,budget,power,8,581.3,6,independent,Mixed,4.8,"Hakka Noodles,Mineral Water,Raita,Spring Rolls",4,390,1,1,1,0,Rasgulla,70,Dessert
50,5765,Delhi,13,3,lunch,occasional,new,11,675.11,532,chain,Mixed,3.6,"Hakka Noodles,Chicken Fried Rice",2,400,1,0,0,0,Brownie,100,Dessert
51,902,Delhi,15,1,dinner,budget,power,23,835.43,650,independent,Chinese,3.9,"Chicken Fried Rice,Roti",2,240,1,0,0,0,Raita,60,Side
52,1119,Mumbai,12,5,lunch,premium,regular,3,331.41,376,chain,Indian,3.8,"Hakka Noodles,Naan,Rasgulla",3,300,1,0,0,1,Lassi,70,Drink
53,2899,Bangalore,21,1,late_night,premium,new,1,513.19,749,independent,Indian,4.4,"Hakka Noodles,Samosa,Raita,Biryani",4,570,1,1,0,0,Chicken Wings,180,Starter
54,4034,Hyderabad,15,2,dinner,occasional,power,29,321.34,198,independent,Continental,4.3,"Dal Makhani,Coke,Lassi,Biryani",4,580,1,0,1,0,Hakka Noodles,190,Main
55,1121,Hyderabad,12,2,lunch,occasional,new,15,877.16,254,independent,Chinese,4.4,Biryani,1,280,1,0,0,0,Raita,60,Side
56,3229,Hyderabad,20,6,late_night,budget,regular,8,538.88,411,chain,Continental,4.4,"Butter Chicken,Hakka Noodles,Spring Rolls,Rasgulla",4,700,1,0,0,1,Salan,70,Side
57,346,Bangalore,19,1,dinner,budget,regular,17,661.03,210,chain,Indian,3.5,"Dal Makhani,Chicken Fried Rice,Mineral Water,Hakka Noodles",4,600,1,0,1,0,Rasgulla,70,Dessert
58,3450,Mumbai,13,2,lunch,budget,regular,23,936.67,296,chain,Chinese,4.7,Chicken Fried Rice,1,210,1,0,0,0,Coke,50,Drink
59,1855,Bangalore,15,6,dinner,budget,power,26,935.88,309,chain,Chinese,4.5,Butter Chicken,1,320,1,0,0,0,Naan,40,Bread
60,386,Delhi,18,1,dinner,occasional,new,1,489.92,640,chain,Continental,4.1,"Biryani,Salan,Spring Rolls",3,470,1,1,0,0,Gulab Jamun,80,Dessert
61,4159,Bangalore,13,1,lunch,premium,new,8,601.76,49,chain,Indian,4.7,Hakka Noodles,1,190,1,0,0,0,Spring Rolls,120,Starter
62,1793,Hyderabad,21,6,late_night,occasional,power,14,771.25,723,independent,Mixed,4.1,Hakka Noodles,1,190,1,0,0,0,Biryani,280,Main
63,3058,Delhi,13,3,lunch,budget,regular,19,715.2,222,independent,Continental,3.7,Butter Chicken,1,320,1,0,0,0,Roti,30,Bread
64,3452,Mumbai,14,6,lunch,premium,power,8,279.55,349,independent,Indian,4.2,"Butter Chicken,Naan,Lassi",3,430,1,0,1,0,Mineral Water,20,Drink
65,2144,Bangalore,23,3,late_night,budget,regular,19,666.43,469,independent,Continental,3.9,"Biryani,Spring Rolls",2,400,1,0,0,0,Raita,60,Side
66,4178,Delhi,8,6,breakfast,budget,power,3,958.76,746,chain,Chinese,4.0,"Chicken Fried Rice,Hakka Noodles,Salan",3,470,1,1,0,0,Brownie,100,Dessert
67,2902,Kolkata,15,0,dinner,premium,regular,9,311.48,632,chain,Chinese,4.1,"Butter Chicken,Mineral Water,Brownie,Roti",4,470,1,0,1,1,Salan,70,Side
68,2542,Kolkata,17,1,dinner,budget,new,17,524.2,610,chain,Indian,3.5,"Paneer Tikka,Chicken Fried Rice",2,430,1,0,0,0,Raita,60,Side
69,5498,Kolkata,14,4,lunch,premium,regular,2,333.03,27,chain,Continental,4.6,"Chicken Fried Rice,Spring Rolls,Salan,Gulab Jamun",4,480,1,1,0,1,Lassi,70,Drink
70,1387,Mumbai,10,4,breakfast,occasional,regular,24,949.46,29,chain,Continental,3.9,"Raita,Naan,Butter Chicken,Paneer Tikka",4,640,1,1,0,0,Roti,30,Bread
71,5409,Delhi,11,6,lunch,occasional,power,8,782.55,244,chain,Indian,4.1,Biryani,1,280,1,0,0,0,Coke,50,Drink
72,1241,Hyderabad,18,1,dinner,budget,power,27,969.68,131,independent,Indian,3.5,"Paneer Tikka,Rasgulla,Chicken Wings",3,470,1,0,0,1,Coke,50,Drink
73,5137,Delhi,16,6,dinner,budget,power,15,754.54,12,independent,Mixed,4.6,"Biryani,Hakka Noodles,Mineral Water,Salan",4,560,1,1,1,0,Brownie,100,Dessert
74,489,Hyderabad,17,6,dinner,premium,power,27,955.41,401,chain,Chinese,4.2,"Chicken Fried Rice,Salan",2,280,1,1,0,0,Coke,50,Drink
75,3295,Kolkata,14,2,lunch,premium,power,7,452.23,490,chain,Indian,4.3,"Dal Makhani,Ice Cream,Paneer Tikka,Chicken Fried Rice",4,700,1,0,0,1,Coke,50,Drink
76,3588,Hyderabad,13,0,lunch,budget,regular,13,507.17,161,independent,Indian,4.3,"Butter Chicken,Papad",2,345,1,1,0,0,Coke,50,Drink
77,5728,Bangalore,18,6,dinner,premium,new,13,483.7,477,independent,Indian,4.1,"Brownie,Roti,Raita,Salad",4,280,0,1,0,1,Mineral Water,20,Drink
78,2034,Kolkata,9,5,breakfast,budget,new,5,829.08,432,chain,Indian,4.8,Biryani,1,280,1,0,0,0,Lassi,70,Drink
79,939,Kolkata,13,6,lunch,occasional,regular,22,686.19,344,chain,Chinese,4.3,Dal Makhani,1,180,1,0,0,0,Roti,30,Bread
80,3565,Delhi,18,1,dinner,budget,regular,29,408.19,753,independent,Continental,4.6,Biryani,1,280,1,0,0,0,Mineral Water,20,Drink
81,2467,Delhi,9,5,breakfast,budget,power,9,512.94,160,chain,Chinese,4.3,Biryani,1,280,1,0,0,0,Gulab Jamun,80,Dessert
82,2683,Kolkata,20,0,late_night,occasional,new,16,596.7,738,independent,Chinese,4.6,"Papad,Paneer Tikka,Lassi,Raita",4,375,1,1,1,0,Naan,40,Bread
83,4550,Hyderabad,19,4,dinner,budget,new,8,652.59,593,independent,Mixed,4.6,"Paneer Tikka,Dal Makhani",2,400,1,0,0,0,Raita,60,Side
84,5869,Mumbai,13,2,lunch,budget,power,6,351.38,571,independent,Indian,3.9,Paneer Tikka,1,220,1,0,0,0,Coke,50,Drink
85,557,Delhi,16,2,dinner,occasional,power,7,354.51,426,independent,Mixed,3.9,"Mineral Water,Dal Makhani",2,200,1,0,1,0,Rasgulla,70,Dessert
86,5645,Bangalore,8,0,breakfast,budget,power,5,282.01,700,independent,Mixed,4.6,"Hakka Noodles,Salan,Gulab Jamun,Papad",4,365,1,1,0,1,Fresh Lime,60,Drink
87,5316,Kolkata,23,3,late_night,premium,power,4,718.06,192,chain,Mixed,3.6,"Hakka Noodles,Fresh Lime",2,250,1,0,1,0,Rasgulla,70,Dessert
88,5044,Hyderabad,19,6,dinner,budget,power,17,281.75,33,independent,Continental,4.1,"Paneer Tikka,Butter Chicken,Coke",3,590,1,0,1,0,Raita,60,Side
89,39,Hyderabad,20,2,late_night,premium,power,6,808.08,84,independent,Continental,3.9,Chicken Wings,1,180,0,0,0,0,Samosa,40,Starter
90,5507,Bangalore,8,1,breakfast,premium,power,28,348.42,162,chain,Continental,3.5,Paneer Tikka,1,220,1,0,0,0,Naan,40,Bread
91,5777,Hyderabad,12,6,lunch,occasional,regular,14,678.66,562,independent,Continental,4.3,"Dal Makhani,Butter Chicken,Spring Rolls,Coke",4,670,1,0,1,0,Naan,40,Bread
92,3966,Kolkata,11,3,lunch,budget,regular,6,433.33,726,independent,Indian,3.8,"Chicken Fried Rice,Mineral Water,Naan,Chicken Wings",4,450,1,0,1,0,Lassi,70,Drink
93,5421,Mumbai,8,3,breakfast,premium,new,22,368.28,392,chain,Chinese,4.5,Biryani,1,280,1,0,0,0,Lassi,70,Drink
94,2721,Delhi,15,1,dinner,budget,regular,26,840.47,225,chain,Indian,4.0,Spring Rolls,1,120,0,0,0,0,Ice Cream,90,Dessert
95,3042,Delhi,14,3,lunch,budget,power,15,851.86,317,chain,Continental,3.5,"Biryani,Fresh Lime",2,340,1,0,1,0,Spring Rolls,120,Starter
96,2055,Bangalore,11,3,lunch,premium,regular,12,397.68,22,independent,Continental,4.3,Hakka Noodles,1,190,1,0,0,0,Coke,50,Drink
97,2957,Mumbai,20,2,late_night,premium,power,18,722.61,567,independent,Mixed,4.5,Butter Chicken,1,320,1,0,0,0,Roti,30,Bread
98,4645,Mumbai,18,2,dinner,premium,power,5,476.75,35,chain,Indian,4.0,"Dal Makhani,Mineral Water,Salad",3,290,1,0,1,0,Spring Rolls,120,Starter
99,1388,Kolkata,19,1,dinner,budget,power,19,673.88,608,chain,Mixed,3.5,"Paneer Tikka,Coke",2,270,1,0,1,0,Papad,25,Side
100,1270,Hyderabad,19,2,dinner,budget,regular,2,344.78,552,chain,Continental,3.8,"Hakka Noodles,Papad",2,215,1,1,0,0,Coke,50,Drink
101,4006,Hyderabad,16,5,dinner,premium,new,12,304.7,623,independent,Mixed,4.3,"Hakka Noodles,Mineral Water,Paneer Tikka,Dal Makhani",4,610,1,0,1,0,Papad,25,Side
102,4397,Bangalore,17,2,dinner,premium,regular,28,229.34,592,independent,Indian,3.9,"Chicken Fried Rice,Chicken Wings",2,390,1,0,0,0,Spring Rolls,120,Starter
103,2735,Hyderabad,19,4,dinner,budget,new,20,241.36,632,independent,Mixed,4.3,"Butter Chicken,Chicken Wings,Fresh Lime",3,560,1,0,1,0,Hakka Noodles,190,Main
104,1059,Hyderabad,12,2,lunch,budget,new,25,711.3,691,independent,Mixed,3.7,Butter Chicken,1,320,1,0,0,0,Roti,30,Bread
105,1209,Bangalore,9,6,breakfast,premium,power,6,894.51,384,independent,Indian,3.7,"Paneer Tikka,Spring Rolls",2,340,1,0,0,0,Naan,40,Bread
106,4182,Delhi,8,6,breakfast,occasional,regular,25,751.62,427,independent,Chinese,4.1,Brownie,1,100,0,0,0,1,Fresh Lime,60,Drink
107,3073,Bangalore,22,5,late_night,budget,new,9,272.39,361,independent,Chinese,4.4,"Biryani,Paneer Tikka",2,500,1,0,0,0,Raita,60,Side
108,3231,Mumbai,18,3,dinner,premium,new,24,437.5,102,independent,Mixed,4.4,"Rasgulla,Naan",2,110,0,0,0,1,Biryani,280,Main
109,455,Mumbai,12,6,lunch,budget,regular,26,669.65,711,chain,Indian,4.0,Biryani,1,280,1,0,0,0,Raita,60,Side
110,3016,Delhi,9,5,breakfast,budget,power,15,626.88,85,independent,Mixed,4.2,"Gulab Jamun,Chicken Fried Rice",2,290,1,0,0,1,Spring Rolls,120,Starter
111,2831,Bangalore,23,6,late_night,premium,regular,19,248.21,498,independent,Continental,4.2,Chicken Fried Rice,1,210,1,0,0,0,Ice Cream,90,Dessert
112,4885,Hyderabad,13,2,lunch,premium,regular,4,858.54,373,independent,Chinese,3.9,"Paneer Tikka,Chicken Fried Rice,Samosa",3,470,1,0,0,0,Naan,40,Bread
113,4446,Bangalore,14,6,lunch,premium,power,22,640.18,159,chain,Continental,3.6,"Dal Makhani,Chicken Wings",2,360,1,0,0,0,Papad,25,Side
114,5496,Hyderabad,17,6,dinner,occasional,new,4,419.84,118,chain,Chinese,4.3,"Paneer Tikka,Papad",2,245,1,1,0,0,Hakka Noodles,190,Main
115,3684,Kolkata,14,1,lunch,budget,regular,17,342.76,676,independent,Indian,4.1,Butter Chicken,1,320,1,0,0,0,Spring Rolls,120,Starter
116,2853,Bangalore,19,6,dinner,occasional,regular,22,556.63,590,chain,Indian,3.6,Butter Chicken,1,320,1,0,0,0,Papad,25,Side
117,4009,Mumbai,18,6,dinner,premium,power,1,381.33,580,independent,Chinese,4.3,"Dal Makhani,Naan,Hakka Noodles",3,410,1,0,0,0,Fresh Lime,60,Drink
118,2473,Kolkata,20,0,late_night,premium,new,3,352.26,428,chain,Mixed,4.2,"Butter Chicken,Salad",2,410,1,0,0,0,Roti,30,Bread
119,5250,Kolkata,9,5,breakfast,budget,power,15,360.75,354,chain,Chinese,3.9,"Dal Makhani,Hakka Noodles",2,370,1,0,0,0,Papad,25,Side
120,208,Delhi,21,5,late_night,budget,power,8,814.88,12,chain,Mixed,4.4,"Hakka Noodles,Ice Cream,Chicken Wings,Naan",4,500,1,0,0,1,Coke,50,Drink
121,2369,Mumbai,21,4,late_night,premium,regular,13,488.11,456,chain,Mixed,3.7,"Dal Makhani,Paneer Tikka,Coke,Hakka Noodles",4,640,1,0,1,0,Naan,40,Bread
122,341,Delhi,18,0,dinner,budget,new,28,881.14,180,independent,Continental,4.7,"Butter Chicken,Salad",2,410,1,0,0,0,Roti,30,Bread
123,4586,Kolkata,22,0,late_night,premium,regular,15,522.38,594,chain,Continental,4.4,"Hakka Noodles,Butter Chicken",2,510,1,0,0,0,Papad,25,Side
124,4226,Bangalore,9,5,breakfast,premium,regular,29,454.03,537,independent,Indian,4.1,Ice Cream,1,90,0,0,0,1,Brownie,100,Dessert
125,2531,Mumbai,13,0,lunch,budget,new,14,900.88,482,independent,Indian,3.5,Chicken Fried Rice,1,210,1,0,0,0,Ice Cream,90,Dessert
126,3037,Kolkata,22,5,late_night,budget,power,11,803.4,254,independent,Mixed,4.0,"Butter Chicken,Paneer Tikka,Gulab Jamun",3,620,1,0,0,1,Roti,30,Bread
127,1951,Mumbai,14,2,lunch,budget,power,7,376.64,149,chain,Mixed,3.9,"Dal Makhani,Biryani,Hakka Noodles",3,650,1,0,0,0,Coke,50,Drink
128,3293,Kolkata,11,3,lunch,premium,power,5,509.66,690,chain,Indian,4.7,"Butter Chicken,Salan",2,390,1,1,0,0,Naan,40,Bread
129,3717,Delhi,21,2,late_night,budget,regular,18,703.44,742,chain,Indian,4.5,"Chicken Fried Rice,Biryani",2,490,1,0,0,0,Coke,50,Drink
130,2386,Hyderabad,20,3,late_night,budget,power,8,848.55,497,independent,Continental,4.1,"Chicken Fried Rice,Dal Makhani,Paneer Tikka,Salad",4,700,1,0,0,0,Coke,50,Drink
131,3805,Kolkata,20,5,late_night,premium,new,10,944.26,554,chain,Indian,4.7,Biryani,1,280,1,0,0,0,Paneer Tikka,220,Main
132,4096,Kolkata,15,4,dinner,occasional,power,8,233.34,776,chain,Chinese,4.3,"Salad,Rasgulla,Samosa",3,200,0,0,0,1,Chicken Fried Rice,210,Main
133,3577,Bangalore,8,4,breakfast,occasional,power,11,529.7,664,chain,Indian,4.2,"Hakka Noodles,Dal Makhani,Rasgulla,Salad",4,530,1,0,0,1,Spring Rolls,120,Starter
134,773,Delhi,13,6,lunch,budget,power,9,715.12,648,independent,Mixed,4.3,"Butter Chicken,Mineral Water",2,340,1,0,1,0,Roti,30,Bread
135,378,Delhi,17,4,dinner,occasional,regular,23,276.01,374,chain,Indian,4.7,"Paneer Tikka,Gulab Jamun,Papad,Mineral Water",4,345,1,1,1,1,Raita,60,Side
136,4584,Bangalore,21,3,late_night,premium,new,26,852.76,626,independent,Mixed,3.8,Butter Chicken,1,320,1,0,0,0,Dal Makhani,180,Main
137,39,Mumbai,19,0,dinner,occasional,regular,11,415.47,149,chain,Chinese,4.1,"Hakka Noodles,Salan,Ice Cream,Rasgulla",4,420,1,1,0,1,Coke,50,Drink
138,3869,Hyderabad,9,1,breakfast,budget,new,22,652.02,463,independent,Continental,4.8,"Dal Makhani,Ice Cream,Gulab Jamun",3,350,1,0,0,1,Butter Chicken,320,Main
139,2461,Kolkata,22,0,late_night,budget,power,10,726.05,136,independent,Chinese,3.5,Butter Chicken,1,320,1,0,0,0,Brownie,100,Dessert
140,2521,Delhi,12,5,lunch,occasional,power,2,806.94,66,chain,Mixed,4.5,"Paneer Tikka,Salad,Rasgulla,Fresh Lime",4,440,1,0,1,1,Naan,40,Bread
141,2635,Bangalore,22,6,late_night,premium,power,7,202.57,101,independent,Mixed,4.0,"Hakka Noodles,Butter Chicken,Raita,Naan",4,610,1,1,0,0,Coke,50,Drink
142,2086,Kolkata,19,0,dinner,budget,new,18,681.72,119,chain,Mixed,4.2,"Paneer Tikka,Chicken Wings,Chicken Fried Rice",3,610,1,0,0,0,Raita,60,Side
143,3260,Kolkata,10,0,breakfast,occasional,regular,23,788.4,211,independent,Mixed,3.9,"Chicken Wings,Dal Makhani",2,360,1,0,0,0,Chicken Fried Rice,210,Main
144,2529,Delhi,22,3,late_night,budget,power,27,748.73,476,chain,Continental,4.8,"Biryani,Mineral Water,Raita,Chicken Fried Rice",4,570,1,1,1,0,Salan,70,Side
145,5679,Kolkata,18,6,dinner,budget,regular,22,418.46,400,chain,Indian,4.2,"Chicken Fried Rice,Gulab Jamun",2,290,1,0,0,1,Coke,50,Drink
146,3921,Bangalore,20,2,late_night,budget,power,10,949.88,426,chain,Chinese,3.8,Chicken Fried Rice,1,210,1,0,0,0,Spring Rolls,120,Starter
147,2404,Delhi,11,5,lunch,occasional,power,20,725.56,641,independent,Indian,3.5,Dal Makhani,1,180,1,0,0,0,Roti,30,Bread
148,4644,Hyderabad,21,3,late_night,premium,regular,13,882.47,342,independent,Continental,3.8,"Paneer Tikka,Lassi,Mineral Water,Papad",4,335,1,1,1,0,Gulab Jamun,80,Dessert
149,5739,Kolkata,9,1,breakfast,occasional,new,21,241.81,533,independent,Chinese,4.0,"Paneer Tikka,Gulab Jamun,Spring Rolls",3,420,1,0,0,1,Coke,50,Drink
150,2540,Mumbai,12,1,lunch,budget,regular,4,534.39,581,chain,Continental,3.8,"Butter Chicken,Spring Rolls,Rasgulla,Roti",4,540,1,0,0,1,Naan,40,Bread
151,598,Mumbai,8,4,breakfast,budget,regular,1,542.9,28,independent,Continental,3.6,"Paneer Tikka,Raita",2,280,1,1,0,0,Coke,50,Drink
152,3589,Delhi,13,0,lunch,premium,regular,17,361.09,98,independent,Mixed,4.1,"Hakka Noodles,Papad,Butter Chicken",3,535,1,1,0,0,Spring Rolls,120,Starter
153,2325,Kolkata,17,6,dinner,premium,regular,2,252.16,655,independent,Mixed,4.6,"Hakka Noodles,Roti",2,220,1,0,0,0,Fresh Lime,60,Drink
154,5374,Bangalore,15,3,dinner,budget,regular,10,275.23,227,independent,Continental,4.4,Butter Chicken,1,320,1,0,0,0,Rasgulla,70,Dessert
155,2556,Kolkata,16,3,dinner,budget,new,13,924.91,72,chain,Indian,4.0,"Mineral Water,Roti,Spring Rolls,Hakka Noodles",4,360,1,0,1,0,Butter Chicken,320,Main
156,5746,Bangalore,15,5,dinner,budget,new,9,842.88,520,chain,Mixed,4.4,"Hakka Noodles,Raita,Coke",3,300,1,1,1,0,Spring Rolls,120,Starter
157,3959,Mumbai,22,4,late_night,occasional,new,26,263.53,533,independent,Indian,3.9,"Salad,Chicken Fried Rice,Butter Chicken,Biryani",4,900,1,0,0,0,Coke,50,Drink
158,227,Hyderabad,19,4,dinner,budget,regular,24,595.37,434,independent,Continental,4.5,Dal Makhani,1,180,1,0,0,0,Roti,30,Bread
159,1155,Kolkata,19,5,dinner,premium,new,18,799.06,156,independent,Chinese,3.6,Paneer Tikka,1,220,1,0,0,0,Coke,50,Drink
160,2327,Mumbai,12,3,lunch,occasional,regular,7,333.71,783,chain,Continental,3.5,Paneer Tikka,1,220,1,0,0,0,Coke,50,Drink
